Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,Age_Group
0,3,male,22.0,7.25,Unknown,S,Adult
1,1,female,38.0,71.2833,C85,C,Adult
1,3,female,26.0,7.925,Unknown,S,Adult
1,1,female,35.0,53.1,C123,S,Adult
0,3,male,35.0,8.05,Unknown,S,Adult
0,3,male,30.0,8.4583,Unknown,Q,Adult
0,1,male,54.0,51.8625,E46,S,Senior
0,3,male,2.0,21.075,Unknown,S,Infant
1,3,female,27.0,11.1333,Unknown,S,Adult
1,2,female,14.0,30.0708,Unknown,C,Child
1,3,female,4.0,16.7,G6,S,Infant
1,1,female,58.0,26.55,C103,S,Senior
0,3,male,20.0,8.05,Unknown,S,Adult
0,3,male,39.0,31.275,Unknown,S,Adult
0,3,female,14.0,7.8542,Unknown,S,Child
1,2,female,55.0,16.0,Unknown,S,Senior
0,3,male,2.0,29.125,Unknown,Q,Infant
1,2,male,30.0,13.0,Unknown,S,Adult
0,3,female,31.0,18.0,Unknown,S,Adult
1,3,female,30.0,7.225,Unknown,C,Adult
0,2,male,35.0,26.0,Unknown,S,Adult
1,2,male,34.0,13.0,D56,S,Adult
1,3,female,15.0,8.0292,Unknown,Q,Child
1,1,male,28.0,35.5,A6,S,Adult
0,3,female,8.0,21.075,Unknown,S,Child
1,3,female,38.0,31.3875,Unknown,S,Adult
0,3,male,30.0,7.225,Unknown,C,Adult
0,1,male,19.0,263.0,C23 C25 C27,S,Adult
1,3,female,30.0,7.8792,Unknown,Q,Adult
0,3,male,30.0,7.8958,Unknown,S,Adult
0,1,male,40.0,27.7208,Unknown,C,Adult
1,1,female,30.0,146.5208,B78,C,Adult
1,3,female,30.0,7.75,Unknown,Q,Adult
0,2,male,66.0,10.5,Unknown,S,Senior
0,1,male,28.0,82.1708,Unknown,C,Adult
0,1,male,42.0,52.0,Unknown,S,Adult
1,3,male,30.0,7.2292,Unknown,C,Adult
0,3,male,21.0,8.05,Unknown,S,Adult
0,3,female,18.0,18.0,Unknown,S,Adult
1,3,female,14.0,11.2417,Unknown,C,Child
0,3,female,40.0,9.475,Unknown,S,Adult
0,2,female,27.0,21.0,Unknown,S,Adult
0,3,male,30.0,7.8958,Unknown,C,Adult
1,2,female,3.0,41.5792,Unknown,C,Infant
1,3,female,19.0,7.8792,Unknown,Q,Adult
0,3,male,30.0,8.05,Unknown,S,Adult
0,3,male,30.0,15.5,Unknown,Q,Adult
1,3,female,30.0,7.75,Unknown,Q,Adult
0,3,male,30.0,21.6792,Unknown,C,Adult
0,3,female,18.0,17.8,Unknown,S,Adult
0,3,male,7.0,39.6875,Unknown,S,Child
0,3,male,21.0,7.8,Unknown,S,Adult
1,1,female,49.0,76.7292,D33,C,Adult
1,2,female,29.0,26.0,Unknown,S,Adult
0,1,male,65.0,61.9792,B30,C,Senior
1,1,male,30.0,35.5,C52,S,Adult
1,2,female,21.0,10.5,Unknown,S,Adult
